"id","ISBN","title","author","publisher","publication_year"
"1","0393310779","The Greek Way","Edith Hamilton","W. W. Norton & Company","1993"
"2","0399136487","Damia (Rowan)","Anne McCaffrey","Putnam Pub Group","1992"
"3","1551051729","Ghost Stories and Mysterious Creatures of British Columbia","Barbara Smith","Lone Pine Publishing","1999"
"4","1402201435","The One True Ocean","Sarah Beth Martin","Sourcebooks Landmark","2003"
"5","0060926546","Murder on a Kibbutz : Communal Case, A","Batya Gur","Perennial","1995"
"6","0844239062","Astrology (Teach Yourself Books)","Jeff Mayo","McGraw-Hill","1992"
"7","0425068145","Promise Me the Dawn","Jill Gregory","Berkley Pub Group","1984"
"8","0373078188","Wife, Mother ... Lover? (Harlequin Silhouette Intimate Moments, No 818)","Sally Tyler Hayes","Silhouette","1997"
"9","0446604623","A King's Cutter (Nathaniel Drinkwater)","Richard Woodman","Warner Books (Mm)","1997"
"10","1585671274","South from the Limpopo: Travels Through South Africa","Dervla Murphy","Overlook Press","2001"
"11","006091498X","The Orton Diaries","Joe Orton","Harpercollins","1988"
"12","0373092903","My Heart'S Undoing (Silhouette Special Edition, No 290)","Phyllis Halldorson","Silhouette","1986"
"13","0849943272","Jesus Among Other Gods The Absolute Claims Of The Christian Message","Ravi Zacharias","W Publishing Group","2002"
"14","0380733285","Past Reason Hated: An Inspector Banks Mystery","Peter Robinson","Avon","2000"
"15","0446971820","Getting organized: The easy way to put your life in order","Stephanie Winston","Warner Books","1979"
"16","0883681072","Maximized Manhood","Edwin Louis Cole","Whitaker House","1982"
"17","0921586787","Half Known Lives","Joan Givner","New Star Books","2000"
"18","0312266936","What the Lotus Said : A Journey to Tibet and Back","Eric Swanson","St. Martin's Press","2002"
"19","1563054345","The Wine Bible","Karen MacNeil","Workman Publishing","2001"
"20","0380018691","My Love, My Enemy","Jan Cox Speas","Avon Books","1984"
"21","0671024124","DIANA: HER TRUE STORY IN HER OWN WORDS","Andrew Morton","Pocket","1998"
"22","0679452761","Living Faith","Jimmy Carter","Random House Audio Publishing Group","1996"
"23","0914539108","The Old Brown Suitcase: A Teenager's Story of War & Peace","Lillian Boraks-Nemetz","Little Simon","1994"
"24","0297828991","Mr Foreigner","Matthew Kneale","Trafalgar Square","2003"
"25","0743446526","Fear Itself : A Novel","Jonathan Nasaw","Pocket Star","2003"
"26","1586212044","The Millionaires","Brad Meltzer","Time Warner Audio Major","2002"
"27","0333907698","The Last Legion","Valerio Massimo Manfredi","Pan Macmillan","2003"
"28","8420482498","Cinco moscas azules (Extra Alfaguara)","Carmen Posadas","Santillana","1996"
"29","0373440758","Duets 9  (The Rancher Gets Hitched/An Affair Of Convenience) (Harlequin Duets, 9)","Cathie Linz","Harlequin","1999"
"30","0679425411","The Killer Angels: A Novel","Michael Shaara","Random House Trade","1993"
"31","0553213016","Much Ado About Nothing (Bantam Classic)","William Shakespeare","Bantam","1988"
"32","0786248653","The Offer: A Novel of Suspense (Five Star Mystery)","Robert J. Randisi","Five Star (ME)","2003"
"33","0785809880","The Pre-Raphaelites (Centuries of Style)","Inc. Book Sales","Book Sales","1998"
"34","061398546X","Crazy about the Future","Devra Newberger Spergen","Sagebrush Education Resources","1997"
"35","950511446X","El Cuento de La Isla Desconocida","Jose Saramago","Aguilar","1999"
"36","0553295284","Otherness","David Brin","Bantam","1994"
"37","0671820443","MAYHEM MANHATTAN","Marv Wolfman","Pocket","1978"
"38","0553104489","Hawk O'Toole's Hostage","Sandra Brown","Bantam","1997"
"39","2831563836","Dic Portuguese-English Dictionary/Dicionario Ingles-Portugues","Berlitz Publishing","Berlitz Guides","1998"
"40","0140079483","Good Morning, Merry Sunshine: A Father's Journal of His Child's First Year","Bob Greene","Penguin USA","1985"
"41","9501513394","Los Ricos Son Diferentes","Dominique Dunne","Vergara Editor S.A.","1993"
"42","843501665X","El Puente de Alcantara","Frank Baer","Edhasa","2002"
"43","0373028849","Hidden Depths (Harlequin Romance, No 2884)","Nicola West","Harlequin","1987"
"44","0805031138","Murder Offscreen: A Henry Holt Mystery (Henry Holt Mystery)","Denise Osborne","Henry Holt & Co","1994"
"45","0505519186","The Passionate Rebel (Lovespell)","Helen Lehr","Love Spell","1993"
"46","0425143945","Cleopatra Gold","William J. Caunitz","Berkley Publishing Group","1994"
"47","0345256085","Interview With the Vampire","Anne Rice","Ballantine Books","1977"
"48","0380704994","The True Detective","Theodore Weesner","Harper Mass Market Paperbacks (Mm)","1988"
"49","0195108973","The New York Public Library's Books of the Century","Elizabeth Diefendorf","Oxford University Press","1996"
"50","0394740904","Finding the center: Two narratives","V. S Naipaul","Vintage Books","1986"
"51","0739401785","Adventures of a Psychic","Antoinette May Sylvia Browne","Hay House, Inc.","1990"
"52","0373834780","Summer Fires (3 novels in 1)","Heather Graham","Harlequin","2001"
"53","0809448777","Wild Animals (A Child's First Library of Learning)","Time-Life Books","Time-Life Books","1989"
"54","3442545463","Puppenspiel.","Ian Rankin","Goldmann","2002"
"55","0310235138","Time Out for Mom . . . Ahhh Moments","Mary Beth Lagerborg","Zondervan Publishing Company","2000"
"56","0226756971","Love in a Dead Language: A Romance","Lee Siegel","University of Chicago Press","1999"
"57","0879517336","The Great Pursuit","Tom Sharpe","Overlook Press","2000"
"58","0451180054","Trial by Fire","Nancy Taylor Rosenberg","Signet Book","1996"
"59","0876142706","Paper Through the Ages (Carolrhoda on My Own Books)","Shaaron Cosner","Lerner Pubns Co (L)","1984"
"60","0746007019","The Usborne History of the Twentieth Century (History of the Modern World)","Christina Hopkinson","E.D.C. Publishing","1994"
"61","0393032949","Where to Cruise","Bill Robinson","W W Norton & Co Inc","1984"
"62","0451522184","The Pilgrims' Progress","John Bunuan","Signet Book","1982"
"63","031232118X","Something Borrowed","Emily Giffin","St. Martin's Press","2004"
"64","0743422465","Violence of Action (Rogue Warrior)","Richard Marcinko","Atria Books","2002"
"65","185326217X","Man of Property: The Forsyte Saga","J. Galsworthy","Lb May & Assoc Inc","2001"
"66","1551669153","Split Second (Maggie O'Dell Novels (Paperback))","Alex Kava","Mira","2001"
"67","2070392724","SouverainetÃ?Â© du vide. Lettres d'or","Christian Bobin","Gallimard","1995"
"68","0671529641","WHO KILLED THE HOMECOMING QUEEN FEAR STREET 48","R.L. Stine","Simon Pulse","1997"
"69","0373120818","Taming Of Tyler Kincaid (The Barons) (Harlequin Presents, No. 2081)","Sandra Marton","Harlequin","2000"
"70","159113322X","Visiting Grandma","Debra L. Stang","Booklocker.com","2003"
"71","0312872097","The Standing Dead: Book Two of the Stone Dance of the Chameleon","Ricardo Pinto","Tor Books","2003"
"72","074324396X","Solomon Time: An Unlikely Quest in the South Pacific","Will Randall","Scribner","2003"
"73","0440176670","Sexual Outlaw","Rechy","Dell Publishing Company","1978"
"74","0671795775","Leslie Nielsen: The Naked Truth","Leslie Nielsen","Pocket Books","1993"
"75","0373440979","Three Babies and a Bargain/Baby Bonus? (Harlequin Duets 31)","Kate Hoffman","Harlequin","2000"
"76","0312910584","Truly Tasteless Jokes VIII","Blanche Knott","St. Martin's Press","1988"
"77","0373871112","For Love Of Mitch (Love Inspired (Numbered))","Cheryl Wolverton","Steeple Hill","2000"
"78","0446392162","Complete Wedding Planner: Helpful Choices for the Bride and Groom","Edith Gilbert","Warner Books","1991"
"79","1579541240","The Green Pharmacy : Herbs, Foods, and Anti-Aging Formulas to Keep You Young","James A. Duke","Rodale Books","1999"
"80","8478081712","La otra orilla","Taisen Deshimaru","Sirio","2001"
"81","843396738X","Pequenos Cuentos Misoginos","Patricia Highsmith","Anagrama","2003"
"82","8408022466","Saber Ser, Saber Estar","Monste Soler","Planeta Pub Corp","1999"
"83","8426411886","El Pendulo de Foucault","Umberto Eco","Lumen Espana","2000"
"84","0373024835","Hell is My Heaven (Harlequin Romance)","Jeneth Murrey","Harlequin Books","1982"
"85","156554756X","The Family Story of Bonnie and Clyde","Phillip W. Steele","Pelican Publishing Company","2000"
"86","3250101656","Maps","Nuruddin Farah","Ammann","1992"
"87","3453196791","Exzession.","Iain M. Banks","Heyne","2002"
"88","0449245209","Domestic Arrangements","Norma Klein","Fawcett Books","1982"
"89","0898707714","Michelangelo: Pieta","Robert Hupka","Ignatius Press","1999"
"90","0671667653","GATHERING STORM (MEN AT ARMS 1) : GATHERING STORM (Men at Arms, Book 1)","Con Sellers","Pocket","1991"
"91","0879979895","Chanurs Venture 2","C J Cherryh","Penguin Putnam~mass","1985"
"92","0446355933","By Love Enslaved","Phoebe Conn","Warner Books","1989"
"93","055314068X","Blackrobe (Wadsworth Statistics/Probability Series)","Robert Wall","Bantam Books","1981"
"94","0553070002","Well-Schooled in Murder","Elizabeth George","Bantam Books","1990"
"95","0805058281","Shattered Faith: A Woman's Struggle to Stop the Catholic Church from Annulling Her Marriage","Sheila Rauch Kennedy","Owl Publishing Company","1998"
"96","0394823052","Robbie and the Leap Year Blues","Norma Klein","Random House Childrens Books","1990"
"97","8495037327","Silva de sirenas (Ministerio del aire)","Luis MartÃ­nez de Merlo","Ediciones La Palma","2001"
"98","0749923113","The Complete Guide to Magic and Ritual","Cassandra Eason","Piatkus Books","2002"
"99","0743439724","A Knight in Shining Armor","Jude Deveraux","Atria","2002"
"100","0375404236","Ocean Sea","Alessandro Baricco","Random House Inc","1999"
"101","157324077X","Honor Thy Children: One Family's Journey to Wholeness","Molly Fumia","Red Wheel/Weiser","1997"
"102","0812810147","The Arrangement","Elia Kazan","Scarborough House","1967"
"103","0821115103","Man creates art creates man","Duane Preble","McCutchan Pub. Corp","1973"
"104","1556111185","Survivor","Christina Crawford","Penguin USA","1988"
"105","0671663410","CORONA  STAR TREK 15","Greg Bear","Star Trek","1987"
"106","0684801647","MILTON'S TEETH AND OVID'S UMBRELLA : CURIOUSER AND CURIOUSER ADVENTURES IN HISTORY","Michael Olmert","Touchstone Books","1996"
"107","0572001797","The Universal Dream Book","Foulsham Editors","Foulsham","1992"
"108","0060192321","Expedition Whydah: The Story of the World's First Excavation of a Pirate Treasure Ship and the Man Who Found Her","Barry Clifford","Cliff Street Books","1999"
"109","0865650675","A Redoute Treasury: 468 Watercolours from Les Liliacees of Pierre-Joseph Redoute","Peter Mallary","Book Sales","1988"
"110","1561383678","The Jack London Reader (Courage Classics)","Jack London","Courage Books","1994"
"111","0465019501","Empires of Time: Calendars, Clocks, and Cultures","Anthony F. Aveni","Perseus Books Group","1989"
"112","0965449920","Miracle on I-40: A Christmas Love Story","Curtiss Ann Matlock","Madeira Books","1999"
"113","0553155199","The Ghost in the Third Row","Bruce Coville","Yearling Books","1987"
"114","1592980074","The Fortunate Four: Other Journeys of the Heart","Joy Kuby","Beaver's Pond Press","2003"
"115","0451152697","Self Hypnotism","Leslie Lecron","Penguin Putnam~mass","1975"
"116","0671743643","QUITTING TIME","Darby Conley","Pocket","1992"
"117","0812505832","Chapel of the Ravens","Paul Bishop","Tor Books","1992"
"118","1892547015","The Foolish Four: How to Crush Your Mutual Funds in 15 Minutes a Year","Brian Bauer","Motley Fool","1999"
"119","037580241X","Thomas Takes a Trip (Toddler Board Book)","Josie Yee","Random House Trade","2000"
"120","0140144579","Working Days: The Journals of the Grapes of Wrath 1938-1941","John Steinbeck","Penguin Books","1990"
"121","083352965X","The Yellow House Mystery (Boxcar Children (Library))","Gertrude Warner","Sagebrush Bound","1999"
"122","0812533682","Jackals","Charles Grant","Tor Books","1996"
"123","0523405731","Bitter Honey","Avis Worthington","Pinnacle Books","1980"
"124","0517119129","Two Complete Novels: Dirk Gently's Holistic Detective Agency/the Long Dark Tea-Time of the Soul","Douglas Adams","Random House Value Publishing","1995"
"125","2070366863","Armance","Stendhal","Distribooks Inc","1992"
"126","0843944722","Ungrateful Dead","Gary L. Holleman","Leisure Books","1999"
"127","0618135871","The Dying Animal","Philip Roth","Houghton Mifflin Company","2001"
"128","0373627130","Red Dust (Vietnam Ground Zero, No 13)","Eric Helm","Gold Eagle","1988"
"129","1865085332","The Artist Is A Thief","Stephen Gray","Allen & Unwin Pty., Limited (Australia)","2004"
"130","0801828953","Him/Her/Self: Sex Roles in Modern America","Peter G. Filene","Johns Hopkins Univ Pr","1986"
"131","0679441700","The Run of His Life: The People V. O.J. Simpson","Jeffrey Toobin","Random House Inc","1996"
"132","0062517716","The 100 Simple Secrets of Successful People: What Scientists Have Learned and How You Can Use It","David Niven","HarperSanFrancisco","2002"
"133","0671897179","WILD, COLD STATE","Debra Monroe","Simon & Schuster","1995"
"134","0465007147","The Close: A Young Woman's First Year at Seminary","Chloe Breyer","Basic Books","2000"
"135","0451136160","The Rake's Protegee","Barbara Hazard","New Amer Library (Mm)","1990"
"136","2253050687","Danger Mortel","Robin Cook","Livre De Poche French","0"
"137","0765108291","The Story of the House of Wooden Santas","Kevin Major","Smithmark Publishers","1998"
"138","3702006532","PROPOLIS. Heilkraft aus dem Bienenvolk. Gewinnung - Anwendung - Rezepte.","Klaus Nowottnick","Stocker","2003"
"139","0865470367","A Cordiall Water: A Garland of Odd and Old Receipts to Assuage the Ills of Man and Beast","Mary Frances Kennedy Fisher","Farrar Straus & Giroux","1981"
"140","0440235421","Handyman","Linda Nichols","Island","2000"
"141","0679734503","Crime and Punishment: A Novel in Six Parts With Epilogue (Vintage Classics)","Fyodor Dostoyevsky","Vintage Books USA","1993"
"142","0452009995","The Gilded Age: A Tale of Today (Meridian Classic)","Mark Twain","Plume Books","1995"
"143","0816704031","The Awful Mess Mystery (Easy to Read Mysteries)","Adrian Robert","Troll Communications Llc","1985"
"144","0895773767","Nature in America/Your A to Z Guide to Our Country's Animals, Plants, Landforms and Other Natural Features (Reader's Digest)","Not Applicable (Na )","Putnam Pub Group","1991"
"145","0330273701","White Shoes, White Lines and Blackie","Robert G. Barrett","Pan MacMillan Australia Pty Limited","1998"
"146","0373520875","Match For Morgan (The Cutlers Of The Shady Lady Ranch) (Silhouette Yours Truly : the Cutlers of the Shady Lady Ranch, No 52087)","Marie Ferrarella","Silhouette","1999"
"147","0330308882","Picture This","Joseph Heller","Pan Books Ltd","0"
"148","0330351540","All About Men","Bella Pollen","Pan Publishing","1997"
"149","0965064573","Ferocious Romance:  What My Encounters With The Right Taught Me About Sex, God, And Fury","Donna Minkowitz","Free Press","1998"
"150","0425169480","The Mummy: A Novel","Max Allan Collins","Boulevard Books","1999"
"151","0027888452","Coyote Places the Stars","Harriet Peck Taylor","Simon & Schuster Children's Publishing","1993"
"152","0028603958","Betty Crocker's New Cookbook: Everything You Need to Know to Cook (8th ed)","Betty Crocker","MacMillan Publishing Company.","1996"
"153","0070465134","The Big Book of Team Building Games: Trust-Building Activities, Team Spirit Exercises, and Other Fun Things to Do","John W. Newstrom","McGraw-Hill Trade","1997"
"154","0140153225","Clea (Durrell, Lawrence. Alexandria Quartet.)","Lawrence Durrell","Penguin Books","1993"
"155","0553579924","Tramp (Lilly Bennett Mysteries)","Marne Davis Kellogg","Bantam Books","1998"
"156","0373971206","Silver","David P. Jordan","Harlequin","1990"
"157","0345435745","Tanequil","TERRY BROOKS","Del Rey","2004"
"158","0669039640","French for Fluency","Jean-Paul Valette","Houghton Mifflin School","1985"
"159","0373077629","Return Of The Cowboy (Intimate Moments, No 762)","Cheryl Biggs","Silhouette","1996"
"160","0786014083","Slave Master (Pinnacle True Crime)","Sue Wiltz","Pinnacle Books","2004"
"161","0671446622","Lace","Shirley Conran","Simon & Schuster","1982"
"162","0099282194","Human Stain","Philip Roth","Random House Uk Ltd","2001"
"163","0887407358","Beading Necklaces With Ani Afshar: A Step-By-Step Guide to Creating Beautiful Beaded Jewelry (A Schiffer Book for Craftspeople)","Ani Afshar","Schiffer Publishing","1995"
"164","0917976754","Cynicalman: The Paperback (Showcase Comic Series)","Matt Feazell","Thunder Baas Pr","1987"
"165","0140441522","The Wasps, the Poet and the Women the Frogs (Penguin Classics)","Aristophanes","Penguin Books","1964"
"166","0671644475","The Conquest","Jude Deveraux","Pocket","1991"
"167","0208024395","The Amistad Slave Revolt and American Abolition","Karen Zeinert","Linnet Books","1997"
"168","8420429902","Un calor tan cercano","Maruja Torres","Alfaguara Ediciones, S.A. (Spain)","1999"
"169","1853260126","Oliver Twist (Wordsworth Classics)","Charles Dickens","NTC/Contemporary Publishing Company","1997"
"170","0373190700","Safety Of His Arms (Silhouette Romance, No 1070)","Vivian Leiber","Silhouette","1995"
"171","0345360982","The Dollars and Sense of Divorce: The Financial Guide for Women","Judith Briles","Ballantine Books","1991"
"172","0395498635","The Return of the Shadow: The History of The Lord of the Rings, Part One (The History of Middle-Earth, Vol. 6)","Christopher Tolkien","Houghton Mifflin","1989"
"173","0142401072","Time Cat: The Remarkable Journeys of Jason and Gareth (Puffin Modern Classics)","Lloyd Alexander","Puffin Books","2004"
"174","068816515X","I'm Not in the Mood: What Every Woman Should Know About Improving Her Libido","Judith, Md. Reichman","William Morrow & Company","1998"
"175","0425086607","Watchtower (Chronicles of Tornor, Book 1)","Elizabeth A. Lynn","Berkley Pub Group","1986"
"176","0679783180","The Charterhouse of Parma (Modern Library Paperback Classics)","Stendhal","Modern Library","2000"
"177","0843939532","In Enemy Hands","Linda Winstead","Leisure Books","1996"
"178","0345247507","The Bankers","Martin Mayer","Ballantine Books","1975"
"179","037326495X","The Boric Acid Murder (WWL Mystery)","Camille Minichino","Worldwide Mystery","2004"
"180","006080632X","The Case of the Journeying Boy","Michael Innes","Perennial","1991"
"181","0060992301","The last raven","Craig Thomas","Harper & Row","1990"
"182","0764553593","Buddhism for Dummies","Jonathan Landaw","For Dummies","2003"
"183","9117510716","Dikter i mÃ¶rker och ljus","Siv Arb","Norstedt","1975"
"184","0316119598","TV Troubl-Trol: Man St","Brown","Little Brown and Company","1997"
"185","1556616090","Journey (Legacies of the Ancient River)","Angela Elwell Hunt","Bethany House Publishers","1997"
"186","0517531704","Tutankhamun: The Last Journey","William MacQuitty","Smithmark Pub","1983"
"187","0671498371","LOVESONG","Valerie Sherwood","Pocket","1985"
"188","0451116119","Fields of Battle","Kate Alexander","New American Library","1982"
"189","3471793267","Vertrauen ist ein ungedeckter Scheck.","Bonnie MacDougal","List","1996"
"190","0140190600","Tao Te Ching: The Book of Meaning and Life (Arkana S.)","Lao Tzu","Penguin Books","1986"
"191","096590363X","Beanie Mania Guidebook: Your Guide to Collecting Beanie Babies","Becky Phillips","Dinomates Press","1998"
"192","0316644374","Billy Straight","Jonathan Kellerman","Little Brown Company","0"
"193","0786705426","Rosie: Rosie O'Donnell Biography","James Robert Parish","Carroll & Graf Publishers","1998"
"194","0809225352","Lapsing Into a Comma : A Curmudgeon's Guide to the Many Things That Can Go Wrong in Print--and How to Avoid Them","Bill  Walsh","McGraw-Hill/Contemporary Books","2000"
"195","0399151974","Love and Death in Brooklyn","Glenville Lovell","Putnam Publishing Group","2004"
"196","1880188481","Hawaii Pono: An Ethnic and Political History","Lawrence H. Fuchs","Bess Press","1997"
"197","0385484984","Visions: How Science Will Revolutionize the 21st Century","Michio Kaku","Doubleday Books","1997"
"198","0688026826","Shadow Magic","Seymour Simon","Harpercollins Library","1985"
"199","0671730614","CASE OF THE COUNTERFEIT CRIMINALS (HARDY BOYS 114) : CASE OF THE COUNTERFEIT CRIMINALS (Hardy Boys, The)","Franklin W. Dixon","Aladdin","1992"
"200","0449149900","Mr. X","Peter Straub","Ballantine Books","2000"
"201","044050306X","Masks of the Illuminati","ROBERT A. WILSON","Dell","1990"
"202","037380010X","When You Have Found Me (Harlequin Classic Library, #10)","Elizabeth Hoy","Harlequin","1981"
"203","0373059191","Mr. Easy  (Man Of The Month) (Silhouette Desire, No 919)","Cait London","Silhouette","1995"
"204","0312183429","A daughter's geography","Ntozake Shange","St. Martin's Press","1983"
"205","0373632479","Wolf's Bane (Destroyer Series, No. 132)","Warren Murphy","Gold Eagle","2003"
"206","1579902065","The Book of Wizard Craft: In Which the Apprentice Finds Spells, Potions, Fantastic Tales & 50 Enchanting Things to Make","Janice Eaton Kilby","Lark Books (NC)","2001"
"207","0451149696","The 10th Victim","Robert Sheckley","New Amer Library (Mm)","1987"
"208","0939680351","Hildegard of Bingen's Book of Divine Works: With Letters and Songs","Saint Hildegard","Bear & Company","1987"
"209","188845136X","Some of the Parts","T Cooper","Consortium","2002"
"210","0934323097","All about Bears (World of Teddy Ruxpin)","Ken Forsse","Alchemy Communications Group, Limited","1985"
"211","0373256728","Impetuous (Harlequin Temptation, No 572)","Lee Foster","Harlequin","1995"
"212","0373272049","Panther On The Prowl (Silhouette Intimate Moments, No. 1134)","Nancy Morse","Silhouette","2002"
"213","0867208465","First Aid Handbook","National Safety Council","Natl Book Network","1995"
"214","0060904666","Myth and Reality","Micrea Eliade","Addison-Wesley Pub Co","1963"
"215","089141813X","Woodbine Red Leader : A P-51 Mustang Ace in the Mediterranean Theater","GEORGE LOVING","Presidio Press","2003"
"216","0804110581","Honor Thy Father","Gay Talese","Ivy Books","1992"
"217","0582349168","Witch, and other stories (The Heritage of literature series)","George Mackay Brown","Longman","1977"
"218","0553350072","Witness for the Prosecution","Agatha Christie","Bantam Doubleday Dell","1987"
"219","0385487622","The Weigh Down Diet","Gwen Shamblin","Doubleday Books","1997"
"220","1569470103","The Beacon at Alexandria (Hera)","Gillian Bradshaw","Soho Press","1994"
"221","0140323082","The TV Kid","Betsy Byars","Puffin Books","1987"
"222","0345347277","The Maldive Mystery","Thor Heyerdahl","Ballantine Books","1987"
"223","1558506535","Knock `Em Dead 1997: The Ultimate Job Seekers Handbook (10th ed)","Martin John Yate","Adams Media Corp","1996"
"224","0140116052","The Penguin Book of English Madrigals: For Four Voices","Denis Stevens","Penguin USA","1989"
"225","0380703831","Tricks","Ed McBain","Harper Mass Market Paperbacks (Mm)","1989"
"226","0385323956","Girls Only","Alex Witchel","Bantam Dell Pub Group","1998"
"227","051503486X","W. C. Fields (A Pyramid illustrated history of the movies)","Nicholas Yanni","Pyramid Publications","1974"
"228","1558746099","Chicken Soup for the Kid's Soul : 101 Stories of Courage, Hope and Laughter (Chicken Soup for the Soul (Paperback Health Communications))","Jack Canfield","HCI","1998"
"229","0316851132","Consequences: A Personal and Political Memoir","John G. Tower","Little Brown & Co","1991"
"230","2881824633","Au nord du capitaine","Catherine Safonoff","ZoÃ?Â©","2002"
"231","3190115214","Themen Neu 1 Arbeitsbuch","Aufderstrab","Adler's Foreign Books Inc","2000"
"232","0373273495","The Right Stuff (Silhouette Intimate Moments, 1279)","Merline Lovelace","Silhouette","2004"
"233","0965865304","Precipice","Daniel Pollock","Council of Logistics Management","1997"
"234","0813338697","Fire in the Sky: The Air War in the South Pacific","Eric M. Bergerud","Westview Press","2001"
"235","1840680113","Dead Brides : Vampire Tales","Edgar Allan Poe","Creation Books","1999"
"236","088138030X","The Prince of the Rabbits (Star & Elephant Book)","Meroux Meroux","Simon & Schuster Merchandise &","1984"
"237","068482342X","This Side of Peace : A Personal Account","Hanan Ashrawi","Touchstone","1996"
"238","0312300530","The Last Jew","Noah Gordon","St. Martin's Griffin","2002"
"239","0373075219","Ryan Blake'S Revenge (Silhouette Intimate Moments, No 7521)","Clara Wimberly","Silhouette","1993"
"240","0821747967","Princess of Fire (Zebra Historical Romance)","Shannon Drake","Kensington Pub Corp (Mm)","1994"
"241","0872261670","Solved!: Famous Mystery Writers on Classic True-Crime Cases","Richard Glyn Jones","Bedrick","1990"
"242","0582417775","The Client (Penguin Readers, Level 4)","John Grisham","Pearson ESL","2000"
"243","0380006766","The Relaxation Response","Herbert Benson","HarperTorch","1976"
"244","0345460685","Silent Partner","Jonathan Kellerman","Ballantine Books","2003"
"245","0385495676","The Adventurist: My Life in Dangerous Places","Robert Young Pelton","Doubleday Books","2000"
"246","3822893269","Salvador Dali: 1904-1989 (Basic Series : Art)","Gilles Neret","Benedikt Taschen Verlag","1996"
"247","0747253196","Moonlight on the Mersey","Anne Baker","Trafalgar Square Publishing","1996"
"248","3499427982","DTV: In Blinder Panik","Rendell","Rowohlt Taschenbuch Verlag GmbH","0"
"249","0671578790","TNT : Telzey & Trigger","James H. Schmitz","Baen","2000"
